# slug	pages	missing-glyphs	overfull-boxes	recorded
1-peter	133	0	0	2026-08-28
1-timothy	106	0	0	2026-08-28
2-peter	109	0	0	2026-08-28
2-timothy	79	0	0	2026-08-28
acts	487	0	0	2026-08-28
gospel	368	0	0	2026-08-28
gospel-of-luke	319	0	0	2026-08-28
gospel-of-mark	395	0	0	2026-08-28
gospel-of-matthew	517	0	8	2026-08-28
hebrews	212	0	0	2026-08-28
isaiah	411	0	0	2026-08-28
pastoral-epistles	199	0	4	2026-08-28
psalm	103	0	0	2026-08-28
psalm-liturgical	291	0	0	2026-08-28
revelation	376	0	0	2026-08-28
romans	337	0	12	2026-08-28
titus	78	0	0	2026-08-28
