file	NASB marked verse occurrences	NASB verse markers	Morgan English quote blocks	MacArthur English quote blocks	hymn titles requiring version review
01-prologue-annunciations.md	7	35,37,38,46,47,68,78	3	2	On Jordan's Bank the Baptist's Cry; Magnificat（尊主頌，《公禱書》頌文）
02-nativity.md	9	10,11,12,14,29,30,31,32,49	4	1	Hark! The Herald Angels Sing; Once in Royal David's City
03-preparation.md	7	4,5,6,8,16,21,22	3	3	Spirit of the Living God
04-temptation-nazareth.md	4	4,18,19,21	4	2	O Love, How Deep, How Broad, How High; How Firm a Foundation
05-calling-miracles.md	5	8,10,11,31,32	3	2	Just As I Am; I Have Decided to Follow Jesus
06-sabbath-sermon.md	8	20,21,36,37,38,46,47,48	3	2	Built on the Rock; Trust and Obey
07-faith-forgiveness.md	4	9,13,34,47	4	2	Amazing Grace; There Is a Fountain（有一血泉）
08-parables-miracles.md	8	1,2,3,15,24,25,39,48	5	2	It Is Well with My Soul; Jesus, Savior, Pilot Me（耶穌領我）
09-transfiguration.md	8	1,2,18-20,23-25,28-31,35,51,57-62	5	3	How Good, Lord, to Be Here; Rock of Ages（萬古磐石）
10-seventy-samaritan.md	5	2,33,37,41,42	3	3	Sitting at the Feet of Jesus; Take My Life and Let It Be（將我生命獻上）
11-prayer-controversy.md	5	1-4,9-10,13,20,33	4	3	What a Friend We Have in Jesus
12-warnings-watchfulness.md	6	15,20,24,32,37,48	4	3	Be Still, My Soul
13-repentance-healing.md	4	3,16,24,34	4	3	Softly and Tenderly Jesus Is Calling
14-banquet-cost.md	5	11,13-14,23-24,26-27,33	4	1	I Surrender All
15-lost-found.md	10	4,5,6,20,21,22,23,24,31,32	3	3	Come, Thou Fount of Every Blessing
16-riches-eternity.md	5	10,13,19-22,24-26,31	4	2	All to Jesus I Surrender
17-faith-kingdom.md	2	5-6,15-19	4	3	
18-prayer-humility.md	5	1,7-8,13-14,27,41-42	3	2	Rock of Ages
19-zacchaeus-entry.md	6	5,9-10,17,26,41,46	4	4	All Glory, Laud, and Honor
20-authority-questions.md	5	2-4,17,25,36,44	3	5	Crown Him with Many Crowns
21-end-times.md	4	1-4,19,27-28,33-36	2	3	A Mighty Fortress Is Our God
22-last-supper.md	5	19-20,31-32,42,44,61-62	4	3	
23-crucifixion.md	4	34,43,46,47	2	2	When I Survey the Wondrous Cross
24-resurrection-ascension.md	5	5-6,15-16,30-32,38-39,46-47	4	4	Abide with Me; Crown Him with Many Crowns
# NASB main-section marked occurrences: 136. Excludes unmarked quotes, front/back matter and template repeats; not a release total.
# NASB main-section verse occurrences after expanding ranges: 187; partial verses count once. Same exclusions apply.
