reference	sources
以弗所書 1:14	08-life-in-the-spirit.md
以弗所書 1:4-5	09-sovereign-election.md
以弗所書 1:5	08-life-in-the-spirit.md
以弗所書 2:14	11-future-of-israel.md
以弗所書 3:8	11-future-of-israel.md
以弗所書 6	13-submission-to-authority.md
以弗所書 6:11	13-submission-to-authority.md
以西結書 1	02-righteous-judgment.md
以西結書 3	03-universal-sin-justification.md
以西結書 36:26-27	02-righteous-judgment.md
以賽亞書 10:22	11-future-of-israel.md
以賽亞書 10:22-23	09-sovereign-election.md
以賽亞書 11	15-christs-example-mission.md
以賽亞書 11:10	15-christs-example-mission.md
以賽亞書 1:9	09-sovereign-election.md
以賽亞書 29:10	11-future-of-israel.md
以賽亞書 29:16	09-sovereign-election.md
以賽亞書 40:13	11-future-of-israel.md
以賽亞書 44	01-gospel-and-condemnation.md
以賽亞書 45:1	13-submission-to-authority.md
以賽亞書 45:23	14-weak-and-strong.md
以賽亞書 45:4	13-submission-to-authority.md
以賽亞書 45:9	09-sovereign-election.md
以賽亞書 52:13-53	15-christs-example-mission.md
以賽亞書 52:15	15-christs-example-mission.md
以賽亞書 52:5	02-righteous-judgment.md
以賽亞書 52:7	10-faith-and-mission.md
以賽亞書 59:7-8	03-universal-sin-justification.md
以賽亞書 8:14	09-sovereign-election.md
但以理書 14	14-weak-and-strong.md
但以理書 24	16-greetings-conclusion.md
但以理書 3	13-submission-to-authority.md
但以理書 5:1	05-fruits-of-justification.md
但以理書 6	13-submission-to-authority.md
但以理書 9	12-living-sacrifice.md
何西阿書 1:10	09-sovereign-election.md
何西阿書 2:23	09-sovereign-election.md
使徒行傳 1	10-faith-and-mission.md
使徒行傳 18:1-18	00-overview.md
使徒行傳 18:12	14-weak-and-strong.md
使徒行傳 18:18-19	16-greetings-conclusion.md
使徒行傳 18:2	00a-romans-position.md, 11-future-of-israel.md, 14-weak-and-strong.md, 16-greetings-conclusion.md
使徒行傳 18:27	16-greetings-conclusion.md
使徒行傳 19	16-greetings-conclusion.md
使徒行傳 1:8	10-faith-and-mission.md
使徒行傳 20:2-3	00-overview.md
使徒行傳 21	15-christs-example-mission.md
使徒行傳 21:27	15-christs-example-mission.md
使徒行傳 24:17	15-christs-example-mission.md
